,label,tweet
23,0,"@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!
"
24,1,"Love these cold winter mornings :grimacing_face: best feeling everrrrrrr !
"
25,0,"Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32
"
26,0,"Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen :heavy_black_heart:️:heavy_black_heart:️ http://t.co/queL09fqyr
"
27,0,"The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:
"
28,0,"I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat
"
29,0,"see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66
"
30,1,"Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess 
"
31,1,"A wonderful day of starting work at 6am 
"
32,0,"i feel like whole life is about waiting waiting and waiting
"
33,0,"@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip
"
34,1,"@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago
"
35,0,"#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W
"
36,1,"""Twig"" is now ""Sprig""—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq
"
37,0,"@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..
"
38,1,"Yay for another work at 4am day :neutral_face: 
"
39,1,"Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep
"
40,1,"Omg @FloptimusCrime didn't tell @giantfootyguy he was in town :face_screaming_in_fear: #trueFriend 
"
41,1,"I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.
"
42,1,"HaHaHaHa!! #hypocrisy  ""MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl""
"
43,1,"That moment when you have so much stuff to do but you open @tumblr ... #productivity  #tumblr
"
44,0,"Lol! I m enjoying it:two_women_holding_hands: #Talks #Crazyness #SheNeverLeft  sleepy!! :white_smiling_face:
"
45,1,"Luv this 
"
46,1,": When some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons. #Naturopath=#Apothecary #Herb=#Poison
"
47,0,"""@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3"" @Lloydgallagher3 @bigtant1986
"
48,0,"really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48
"
49,0,"@malesurvivor72 I think it's a safe bet it won't fit the crime.
"
50,1,"It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy 
"
51,1,"When you're already running late and then your car won't start <<< #FantasticFriday 
"
52,1,"i decided to become my own boss to have more free time.. now i have no time left whatsoever. 
"
53,0,"loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection
"
54,0,"American Kids starting playing and now I'm super missing #summer2k14 #kennychesney
"
55,0,"@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?
"
56,0,"None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB
"
57,0,"that way people get to understand disabilities and not stare at us funny wen we out and about#IDPwD#disability
"
58,1,"@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. 
"
59,0,"Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?
"
60,0,"Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue
"
61,0,"@Parlett316 ""Dirk's got a lot of moves I'm trying to steal."" - Kevin Durant on his one-legged fadeway
"
62,1,"About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge  http://t.co/sF9o6OWE1v
"
63,1,"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!   http://t.co/vFP1ehx7yL
"
64,1,"Whatever happened to the Guano Apes? Did they ever make it ""Big in Japan""? 
"
65,0,"Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the... http://t.co/DELfxN0BpI
"
66,0,"Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing.
"
67,0,"Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college
"
68,1,"I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face::hundred_points_symbol:  or #naah
"
69,1,"Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW
"
70,1,"Such .   You still have to #praisehim ;)
"
71,0,"Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman http://t.co/9tuskhVYbJ
"
72,1,"""@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!!"" 
"
73,0,"Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z
"
74,1,"@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps 
"
75,1,"I love finals week! #justkidding  #stressed
"
76,0,"@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!
"
77,0,"Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek  Ready #JustShootMeKnow
"
78,0,"@RashawnFranklin Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards.
"
79,1,".@nypost .@Cameron_Gray Oh that makes it all better!!! 
"
80,0,"Why didn't I start watching the tudors earlier? #iloveit
"
81,0,"@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7
"
82,0,"don't knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! im just living they same you are dude
"
83,0,"GET AHT A TAHN!|The Made in PGH Gift Guide https://t.co/ziTWyuzN6a via @getfitpgh
"
84,0,"On my lunch break so sleepy:sleeping_face:
"
85,1,"#Work#Trains#TheGrind#London#Business#MyHappyFace http://t.co/fdE2iQpuQz
"
86,1,"dude said I better think hard , so he can take me to cheddars lmao ! 
"
87,0,"My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM
"
88,0,"Overcast at Creso. #todayimloving #beachwalk #crescenthead http://t.co/daEk2DAjBg
"
89,0,"2014 can't end fast enough! Stupid dead battery.
"
90,1,"Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee
"
91,1,"I have an idea, how about 911 operators don't ever describe race?||And police have to wear color blind glasses?||
"
92,1,"@bustedcoverage  but Russell is a good christian fella, he wouldn't do that. 
"
93,0,"Apparently my youth group thinks ""Are you kidding me?"" is my default expression--or ""nomal face."" #areyoukiddingme http://t.co/dBARs2XXTa
"
94,1,"@jaymohr37  #PSA Hey Jay, I tuned in when u said ""why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th 
"
95,0,"Interviewed a turkey & here's what he had to say http://t.co/8fTsTAoTa1 #Thanksgiving
"
96,1,"Planned on an early night last night.. Oh yaa course that happened..  #gotinterupted
"
97,1,"@MaggieWinter21 your last retweet though 
"
98,1,"2v4 S&D matches are just so fun... 
"
99,1,"i just loveee bein short and having my sweatpants go all the way under my feet its so fun... :pile_of_poo:
"
100,1,"I love waking up at 8 am on a Saturday morning after going to bed at midnight 
"
101,1,"A day where  ruled @twitter, I got followed by @Sarcasmia. Wht a  day!! Lollllll.
"
102,0,"Jusuf Nurkic #Bulls RT @JonathanTjarks: He clearly has a lot of talent. Kind of amazing that Denver got him and Gary Harris for McDermott.
"
103,0,"I don't even have progress on my thesis tas preparations for our event this thursday :weary_face:
"
104,1,"Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014
"
105,0,"Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing
"
106,0,"Had a nice 3 hour nap. Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @MyzzCryz I added water chestnuts to my dinner
"
107,0,"@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.
"
108,1,"I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face::expressionless_face::expressionless_face:. Way to go 
"
109,0,"Hell has frozen over. Literally. #Texas2015.
"
110,1,"Can you write your name on a paper and take a picture ... — I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI
"
111,0,"Its a marshmallow world in the winter :multiple_musical_notes: #getthisoutofmyhead
"
112,1,"Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun 
"
113,1,"Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the  http://t.co/sQCIETUrpR
"
114,0,"that is the face of a tired man hahahahah
"
115,1,"We want turkey!! 
"
116,0,"@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word
"
117,0,"Choose your words carefully hurting someone feelings is not the right way to go.
"
118,1,"What a joke. Thanks for the detailed response and communication with your customers.  @AskPlayStation @PlayStation
"
119,0,"@MohammadFarooq_ Asalamoalekum... :smiling_face_with_open_mouth: kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. :smiling_face_with_halo:
"
120,0,"Feeling artsy tonight. #artsy#homealone#vienna#studentlife @ b&e's apartment http://t.co/Ct85mmtf5H
"
121,0,"showed mom this picture of me and @sopitlikeitshot & says ""this is grunge"" and she goes ""haha!! I love it!"" #momgoals http://t.co/LTe1NGODMk
"
122,0,"@TharaAzzam explains why Inter went all Calciopoli over Juventus...
"
123,0,"I pray God comes back in America and saves us all.
"
124,0,"#Libby #Lane #appointment: #Women #bishops #debate  #over: The appointment of the Reverend Libby Lane as the... http://t.co/YOj9HVUa8n
"
125,0,"Sad that when someone drinks they treat you like shit and won't talk to you.
"
126,0,"We provide a structure that ensures you will successfully invest in real estate. http://t.co/vSLRBIOhyr @backofficeguru
"
127,0,"@FoxNews Ask a liberal and he will tell you Obama got us out of Iraq and won the Afghan war...and no one ever died under his watch.
"
128,1,"Why am I sick? *looks at other tweets* oh yeah sex...  #lame
"
129,1,"working a double on 2 hours of sleep here we go let's get it 
"
130,1,"For those of you that LOVE this time of year.  https://t.co/r6utbrXVrU
"
131,1,"In other news i havent had a good nights sleep in a week. I feel great. 
"
132,0,"The pure #reality of . http://t.co/wokWEvDvrp
"
133,0,"#DIY. Change your #MobileCover every day now. Enjoy! http://t.co/FbDDXMien9
"
134,1,"Happy 2nd anniversary to me in SGV. Happy OT here in client. Woohoo. I loooooove my job. Super. More years to go!!!!!!!!! 
"
135,0,"@Vh1Supersonic Cause of all the things in life this seems to be in #Balance. |Music- Medicine, @Vh1Supersonic - Doctor|#SuperDayLineUp
"
136,0,"@HarrietBaldwin @OkieVision I guess that means MSM will dig something up to smear Barkley now.#Ferguson
"
137,0,"Jimi Agbaje is a fine man...in respect to public service what notable landmark has he achieved?  Tested|Jimi... http://t.co/MCNlrZffAO
"
138,1,"@letote good thing we had enough #whitewine and #christmastrees to survive if needed. #chardsohard #fashion  ;)
"
139,0,"@DFDSUKUpdates why all the delays?  happy
"
140,1,"The fun part about 4 am drives in the winter, is no one has cleaned the snow yet 
"
141,0,"I miss the days when all my close friends lived in the same city.
"
142,1,"so it's claimed that 99% of all russian athletes take performance enhancing drugs. there is a surprise 
"
143,0,"@SQLSophist is that  ?
"
144,1,"Shoutout to my mom for being hella supportive of me 
"
145,1,"@Sidra__PTI you may also see flags of ISIS with him  is this govt and ch nisar don't admit :'(
"
146,1,"@JordanNoftall that's funny 
"
147,0,"Do you want more period related post or do you like how I post some personal things here on Instagram? http://t.co/VQWDOxB2RU
"
148,0,"http://t.co/nKXYmio8V6 #AnalScreen #Exotic Exotic brunette gets her little tight butt nailed right on the office desk
"
149,1,"@mmamania what time is the UFC press conference tomorrow with names of numerous fighters getting cut 
"
150,0,"#Terror on high Seas ...|Fishing boat, allegedly from #Pakistan, blows up at sea ...... http://t.co/V6G1zx2s4f
"
151,0,"#what#matters#to#me#is#gym#holidays#work#the#hell#out http://t.co/HBofXwvQPe
"
152,1,"I like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it  :face_with_tears_of_joy:
"
153,0,"@baltimoresun Hate it. Go back to the old format please.
"
154,0,"@nfullers98 its a week joke I have with Jessica and my niece:person_raising_both_hands_in_celebration:
"
155,0,"@Moose_eBooks You seriously bought a giant TV to play in the box?
"
156,1,"Haha who the fuck says that to someone#TrueGentlemen 
"
157,0,"If you don't want Hall to eventually ask for a trade then hope for consistency in the message. Change too much you might as well start over
"
158,0,"@RobertH1946 @EverydaySexism wow. That  here though, sorry grandpa, we use mac these days #WelcomeToTheWorld #NeverArgueWithFools
"
159,0,"@MyzzCryz I liked the first one. Never cared enough to watch the sequel(s?). That said, I will only watch the #reboot because of #ChrisPratt
"
160,0,"#working.blues.enough.vacation.days http://t.co/zSTyQiRUt5
"
161,0,"@PeterEgan6 The badger crusade continues.|""Gloucestershire badger patrols triggered by illegal trapping fears""|http://t.co/rF5aAmpC5n
"
162,0,"@BrandonTierney I also support instantly murdering 12 year olds with fake plastic guns in public parks...
"
163,0,"Auntie just called and said shes on her way..|I better get dressed then :astonished_face::face_with_tears_of_joy::face_with_tears_of_joy:
"
164,1,"Ahhh 7 a.m bedtimes, how I've missed you  #examproblems
"
165,0,"Nerd #piccollage having a bit of fun with Georgia #nerd#chistmas #sillybilly @ chilling on my comfy... http://t.co/J3z63mwKHt
"
166,0,"@mrjamieeast I think it was the hotel owners...
"
167,0,"@SincerelyTumblr: One day I want to travel with my bestfriend :earth_globe_asia-australia::airplane:️ http://t.co/AXD3Ax5qC1 DONE DID TRAVELED DA WORLD!! @Bethanycsmithh :heavy_black_heart:️
"
168,1,"@SouthamptonFC @LFC @SkySports Again fans come second. Thanks again 
"
169,0,"When you return in kind then so called friends label you as being unkind. :)
"
170,0,"Sometimes i just dont understand anything|#stubborn http://t.co/nwhIEP4VWz
"
171,0,"That was the cutest thing ever :smiling_face_with_heart-shaped_eyes::face_throwing_a_kiss:
"
172,1,"Oh how I love that my ass is too big to fit into my jeans anymore.  #bigbootybitches
"
173,1,"@LifeCheating doesn't lucky and fortunate mean the same thing?  
"
174,0,"I enjoy stealing my husband hat every once in awhile :smiling_face_with_heart-shaped_eyes::face_throwing_a_kiss::flushed_face: #heyyall #GoodMorning http://t.co/LknoOm7VSb
"
175,0,"@SPmilkshake @MikeRTrice @neiltyson His tweet in the context of his history is what makes it a clear bait.
"
176,0,"Insanity is doing the same thing twice and expecting different results
"
177,1,"3 hours sleep yay loving life 
"
178,1,"wow, look at you hotshot.  #isthatajoke
"
179,0,"@dirtydeathdog Can't wait to play the #BFHardline Beta with you XD #Epic
"
180,1,"Contemplating responding to @charliejnwalker's tweet saying ""what remains of their pride"" but not sure how well that will go down 
"
181,1,"Having to be up in four hours sounds great 
"
182,1,"OH and now the District line has major signal failures and delays FANTASTIC!!! 
"
183,1,"@ScottishFA @RaeComm @ChampionsLeague sure that will end well 
"
184,0,"Country music & photo editing, my type of morning :black_sun_with_rays:️:multiple_musical_notes:
"
185,1,"LOL.. Micromax is promising that service?  http://t.co/AxG11utGOD
"
186,0,"""Its so hard to choose between the pleasure and the pain "" #Girl #December #Love #Dream  #Strong http://t.co/GZH8Oqft9y
"
187,1,"@PowerTripKFAN Adrian was raised that way and he made it to the NFL. Maybe he thought that would motivate his kid to get there too? 
"
188,1,"She heard Him cry and His little fingers & toes were counted and Mary exclaimed ""He's PERFECT!""  Oh Mary, you so cray cray. 
"
189,1,"My secret name is lizard squad. I like to ruin people's fun time. Follow and rt to a billion and you'll have fun. #psn  #giveitup
"
190,1,"Sexist article in the Daily Fail about men wasting money on cycling - accompanied by recommendation for a handbag costing £999. 
"
191,0,"@Justen_G you tweet about having a flip phone? Now that's the definition of 
"
192,1,"@G_Wade_TooFlyy yea we was we too only a couple schools played black & not its a black dominate game 
"
193,0,"Don't forget to join @midtown_1015 for #Steak Night tonight starting at 4pm! #nyc #food #foodie
"
194,0,"@andreamarchant @tortugarouge I don't think I've ever seen Love Actually all the way through. I tried once last year. I don't remember it.
"
195,0,"@lionhart32 @Dosta1 @BSButcher My,Nephew stopped a lot. His long hair. looks like a drug dealer. Never smoked anything Pills?not an aspirin.
"
196,0,"#QZ8501 asks permission to #takeoff: #towercontrol of #Surubaya: yeah..y can go...away.
"
197,0,"@RedFMIndia @SunburnFestival |Answer 2- More than 150 artists |#WinSunburnPasses
"
198,1,"@michelledean @AVAETC not playing out in the provinces like, oh, Mississippi. 
"
199,0,"Church sign of the day: How would you feel if we celebrated your birthday without you? :speak-no-evil_monkey: #StoleEm #TheReasonForTheSeason
"
200,1,"""@Rich_Herrera_4: @pcon34 IT HAS THE WORD MAN IN IT!! Just as sexist as saying mail man instead of mail carrier. "" #MichiganMan
"
201,1,"Did you know ? If you are reading this right now you are not blind...lol. 
"
202,0,"@Nettaaaaaaaa @deray yeah & we wont talk about how the bodies of the 2 cops killed in BK were ambulanced immediately. Elitism at its finest.
"
203,1,"Love this weather 
"
204,0,"@MagicalBlondess Psssst. You spelt 'thing'  wrong ||
"
205,0,"http://t.co/ZcHdGJZrhQ What Day is the Sabbath? #follow #Jesus #Christ #FBC #FBCJAX http://t.co/QhJfErumW1
"
206,0," tough day in sun #kitsch#funny @ Costa Teguise Lanzarote http://t.co/3D5qjIyh0z
"
207,0,"@BFBulletin if @tiggr_ exclude BF3 maps from the poll... I am going to RIOT!! I really want Seine Crossing back :loudly_crying_face: :loudly_crying_face:|I would pay for it!!
"
208,1,"I love 14 hour shifts  :weary_face::weary_face::weary_face:
"
209,1,"The whole #Misogyny thing is hanging in there with Women from the right . A cat fight now ?, imagine pulling that on the left #pmlive
"
210,1,"Yea, yea that's logical. 
"
211,0,"Over on CBS at noon is #BALvsMIA. FOX has #SEAvsPHI after the #Saints. #NFL
"
212,1,"So Aaron sorkin goes on @todayshow  to talk about not liking the media talking about Sony hack? Using media to bitch about media? 
"
213,0,"you have no argument because you're insane|@RBRNetwork1 @Steven_Swenson @TheLexZane @SSGAngle @JoeHilgerman @DanMartin_cards
"
214,1,"#FergusonRiotTips Remember, the only way ppl listen is if you burn down their stores||#Ferguson #VitoandVito #WAARMedia #tcot #ycot
"
215,0,"My fingers smell like lavashak :)
"
216,0,"#notcies #eu Juncker receives birthday surprise: One million signatures opposing TTIP and CETA http://t.co/f3knbTnus8
"
217,0,"#Forever #Young, Forever  #Out, Forever in #our #hearts. |#RIP #PhillipJoelHughes. @vCricketAU @CricketAus
"
218,1,"Last day in Naples with my Emma girl! :palm_tree::black_sun_with_rays:#soeasytotakeapicwithatoddler  #19wksandcounting... http://t.co/Xb43RmsXAj
"
219,1,"Say no more.... #bigclub  http://t.co/ALcQQsASsY
"
220,0,"@MyzzCryz anytime! Cash is acceptable every where. And can be used toward whatever they want/need.
"
221,1,"@steigerwaldino Nah, it's better we all act like the North Korean govt and police people's private thoughts. 
"
222,0,"@haugenma my 7-year-old got it for me! I think Macy's http://t.co/JriDbimgYg
"
223,1,"Blowing your nose so hard your ears pop is the greatest way to start a Wednesday. 
"
224,1,"Today's court proceedings, allowing prisoners access to books in England & Wales, surely confirms it's time to limit judicial review. 
"
225,1,"Yay I love being awake at 5 in the morning :grinning_face::pistol: 
"
226,0,"Off to a slow start this morning . :weary_face:
"
227,1,"@MatthewWRossi getting power from wind is so outdated and unsightly, we should be siphoning it directly from the sun by now. 
"
228,1,"Really looked forward to waking up this early for finals...... 
"
229,1,"Oh how I love listening to Fox News in the background while opening presents. 
"
230,1,"Those bad Anonymous and Occupy people did it all because they support white supremacy 
"
231,1,"@Big6domino @CNN Well that's a completely well reasoned and thought out argument. You've changed my mind!!! #Ferguson 
"
232,0,"@badassbraeden Yeah no I'm still laughing. It's not even that funny and I'm still laughing
"
233,0,"@bgracely @Horn_Chris gotta be a joke about tootin a Horn somewhere
"
234,0,"Gotta go out with him and the third,forth,fifth...wheels.| #WinterThought
"
235,1,"Cc: @JohnCropp My last tweet. Wayne's World is a great movie. 
"
236,0,"@nacholeber @SageRosenfels18 zero place for that. when the karma train finds Raiola, I hope it has a full head of steam
"
237,0,"Earn cash by Posting & Tweeting! |http://t.co/2667mS1bHz ||Get started at http://t.co/GViBiZ4ZsH||#CashForContainers #homebasedbusiness #LOL
"
238,1,"Oracle on Windows 2000. This should be fun! 
"
239,1,"last day of classes #trill except finals whoop 
"
240,0,"YOU blame him for everything else @RBRNetwork1 @1_Free_Man @TheLexZane @Anan_VII @ABPT_Rocket @DrPenisWrinkle @kusun0
"
241,1,"With dropping oil prices, thank goodness #PMHarper has worked so hard trying to tie our economy to the oil & gas sector.  #cdnpoli
"
242,0,"when singing along to songs in Korean and there is a part in English, I sing it with a Korean accent. WHY.
"
243,0,"save your work folks. i'm offically cntrl-alt-deleting this week.
"
244,1,"I'm glad Andy can tweet all day but not text me back.  #loved 
"
245,1,": When some masseuses offer ""soothing"" massages the way reviewers offer stinging criticisms. #Masseuse=#Reviewer #Massage=#Criticism
"
246,0,"@PdpNigeria#it shows you that APC is a free and fair party#run by intellectuals#and this is what we call democracy dictatorship#
"
247,0,"@panndder @MyLittleBloggie @bloisolson How dare you accuse me of being a boomer.
"
248,0,"Hungry and hungover  #a  #good #day
"
249,0,"Oi na how am I functioning right now #sleepdeprived
"
250,0,"@loveeallyy I literally do not know
"
251,1,"@mahobili @DrAwab What does PTI do apart from whining?  #Youthiacrasy
"
252,1,"True  http://t.co/38hrutRf0r
"
253,1,"@eXoAnnihilator @roIIerCosta @KSIOlajidebt tells someone to spell correctly while completely fucking up his tweet 
"
254,1,"My solo costume so far is Charcoal Grey Bottoms.... making some real progress. 
"
255,1,"Pay Ghost Soldiers in Iraq & cut pay of US #Military.  #keepyourpromise @SenateDems @Senate_GOPs @thejointstaff http://t.co/353PkrO9yC
"
256,1,"...but then it started itself and made the Windows noise. So starts this exciting day of mine...! 
"
257,0,"@sammiecurtis_ me and you are the only ones that love it :smiling_face_with_open_mouth_and_tightly-closed_eyes::father_christmas::party_popper::multiple_musical_notes:
"
258,0,"In need of a rose winee:wine_glass::wine_glass:
"
259,1,"Yesterday #PeshawarAttack was a top tag and today the only thing twitter nation seems to be concerned about is #PTIKeptPakFirst 
"
260,0,"My whole life is just ""oh ok"".
"
261,0,"Leg snapped alike a twig and after I completed my front flip I screamed like a hungry newborn baby
"
262,0,"#succes #it #is  #about #what #we #see #if #we just #keep #hope #and #never #give #up #success #is... http://t.co/bCjdQqzo1k
"
263,1,"I can already tell today is going to be a wonderful day 
"
264,1,"@junior_miller @gordonkeith Junior got a rim shot for a 'rim job' joke. 
"
265,0,"Found out the reason that weekend closer makes my life miserable is because I'm atheist. #hypocrite #atheistproblems #serverproblems
"
266,1,"Staying #casual #monday #funday  #ootd #fashion #style #allyouneedisstyle #todayimwearing http://t.co/tpuVqw7K4s
"
267,0,"@QararaRasha so so problematic.. God bless her. It's a shame what've we done to pakistan. :(
"
268,1,"#TortureReport trending; I wasn't aware J.K. Rowling released her new book. 
"
269,1,"@patevans @grbj Too Sad... LOCAL NOW!
"
270,1,"@C_o_r_g_i wtf thanks for saying bye 
"
271,1,"Ahh gotta love those December electric bills. 
"
272,1," dead? Why is this stupidest of memes still perpetuated?
"
273,1,"When someone with retrica wali picture complains about how many filters someone has used in their picture to look pretty..
"
274,1,"Great, I've got a lung infection. This is fun. :/ | #notfun #miserable
"
275,1,"Jeez it's a lovely morning out!! :dash_symbol::droplet::splashing_sweat_symbol: :thumbs_down_sign:  #Ireland #December
"
276,0,"@Jaee_ThaPrince I need a spot for my birthday
"
277,0,"@Redsaint76 I don't think. I know!
"
278,1,"I love when people leave their smelly shoes in my car. It makes my car smell great! 
"
279,1,"@sportstalksc what's the rush? His leg is still attached right?  #dr.dabo
"
280,1,"50 mph winds make a great hair fan for a photo shoot. :smiling_face_with_open_mouth:
"
281,1,"Gotta love working the day after Christmas  #smellya
"
282,1,"Is ""I have to go...my gelding is struggling with dystocia"" a valid excuse...I just want to see the (lack of) reaction #whenyouseeit 
"
283,1,".@ChipBrent I love the #gamergate concept of harassing and spamming porn at any critics as proof that you're not a hate group. 
"
284,1,"The thing I love the most about coming into work early? Having everyone ask me why I'm here so early. Gets me every time.  #annoying
"
285,1,"Thanks @AirAsia, for nothing. All my family were flying with you from KL to attend my wedding. #everyonecanfly  #AdelaideRouteCancelled
"
286,0,"@CNN9ja @bbgalad#he didn't know that before putting him there#they all reck our country#PDP clans do not deserve another day even months
"
287,0,"@kennobish could do with someone making me a hot chocolate right now ahaha
"
288,0,"me at restaurants: Is there wi-fi?|me at beach: Is there wi-fi?|me at family parties: Is there wi-fi?|me in hell: Is there wi-fi? #wifi
"
289,1,"Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  :see-no-evil_monkey:
"
290,0,"Don't #text and #drive either. http://t.co/OXybfwwWb6 http://t.co/fgOCRS5kre http://t.co/fBpsjk6yyk
"
291,1,"@JimHumbert @GotNewsDotCom Really?! Unbelievable! U mean he was a Thug & Criminal?  
"
292,0,"Always gonna be an uphill battle, sometimes I'm gonna have to lose.
"
